id,description,address,type,total_likes,created_at,updated_at,deleted_at
C-123j9ak280,"Saya ingin melaporkan masalah pencemaran lingkungan yang serius di sekitar kawasan industri di Kota Cilegon. Pabrik-pabrik di sekitar Jalan Raya Merak terus melakukan pembuangan limbah secara ilegal ke sungai yang mengakibatkan sungai tersebut tercemar berat. Air sungai yang sudah tercemar ini sangat berbahaya bagi lingkungan sekitar dan juga kesehatan masyarakat yang menggunakan air dari sungai tersebut. Selain itu, kebisingan dan polusi udara dari aktivitas industri juga telah menciptakan lingkungan yang tidak sehat bagi penduduk sekitar. Saya berharap pemerintah setempat segera mengambil tindakan tegas untuk mengendalikan pembuangan limbah industri, memulihkan kondisi sungai, serta meningkatkan pengawasan terhadap kegiatan industri agar lingkungan Kota Cilegon bisa menjadi lebih bersih dan sehat.","Jl. Letnan Jenderal Suprapto No. 78, Kelurahan Cibeber, Kecamatan Cilegon, Kota Cilegon, Provinsi Banten, 42441",public,1,2024-06-20 16:47:20.021,2024-06-20 12:24:58.012,
C-1947d78044,kebakaran di lingkungan padat penduduk,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",public,0,2024-06-21 07:24:33.970,2024-06-21 07:24:33.970,
C-271j9ak280,"Saya ingin melaporkan kondisi keamanan yang memprihatinkan di beberapa wilayah di Kota Tangerang. Belakangan ini, sering terjadi tindak kejahatan seperti pencurian dan perampokan di sekitar Jalan Pahlawan dan sekitarnya. Lampu penerangan jalan yang kurang memadai menjadi salah satu faktor yang mempermudah pelaku kejahatan beraksi pada malam hari. Selain itu, kepolisian setempat terkesan lamban dalam merespons laporan kejahatan dari masyarakat, sehingga membuat warga merasa tidak aman. Saya berharap pihak berwenang dapat meningkatkan patroli keamanan, memperbaiki penerangan jalan, dan meningkatkan respon terhadap laporan kejahatan untuk meningkatkan keamanan dan ketertiban di Kota Tangerang.","Jl. Gatot Subroto No. 234, Kelurahan Karawaci, Kecamatan Karawaci, Kota Tangerang, Provinsi Banten, 15810",public,2,2024-06-20 16:47:20.021,2024-06-20 12:25:00.954,
C-2dd95e75d8,halo min daerah kami ada kebakaran hebat tolong untuk pihak terkait segera mendata korban serta rumah-rumah yang terbakar dikarenakan lokasi yang berada di padat penduduk,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",public,0,2024-06-20 12:50:48.256,2024-06-20 15:13:23.975,
C-7890poiuytre,Lingkungan kami sering terganggu oleh sampah plastik. Baunya tidak sedap dan mencemari lingkungan.,Jalan Hijau Indah No. 14,private,1,2024-06-20 12:40:00.000,2024-06-21 13:45:00.000,
C-81j9aK9280,"Saya ingin melaporkan kondisi toilet yang sangat kotor di Puskesmas Sentra Kesehatan Masyarakat di wilayah saya. Toilet umum di gedung ini sering kali tidak terawat dengan baik, dinding dan lantai kamar mandi penuh dengan noda dan kotoran, serta bau yang tidak sedap sangat mengganggu penggunaannya. Kondisi ini sangat mengkhawatirkan karena kebersihan toilet yang buruk dapat menyebabkan penyebaran penyakit di antara pengunjung dan staf Puskesmas. Saya berharap pihak terkait segera melakukan perbaikan dan meningkatkan standar kebersihan di fasilitas ini agar dapat memberikan pelayanan kesehatan yang lebih baik dan aman bagi semua orang yang datang ke Puskesmas.","Jl. Raya Pandeglang No. 123, Desa Cikupa, Kecamatan Labuan, Kabupaten Pandeglang, Provinsi Banten, 42264",public,4,2024-06-20 16:47:20.021,2024-06-20 14:12:40.952,
C-81jas92581,"Saya ingin melaporkan pelayanan yang kurang memadai di Kantor Dinas Kependudukan dan Pencatatan Sipil Kota Serang. Antrian untuk pengurusan KTP, KK, dan akta kelahiran sering kali sangat panjang, dengan waktu tunggu yang tidak menentu dan pelayanan yang lambat. Selain itu, fasilitas ruang tunggu sangat minim dan tidak nyaman, tidak tersedia kursi yang memadai untuk jumlah warga yang datang. Banyak warga yang harus menunggu di luar gedung tanpa perlindungan dari panas dan hujan. Saya berharap pihak terkait dapat meningkatkan efisiensi pelayanan dan memperbaiki fasilitas di kantor tersebut agar warga dapat dilayani dengan lebih cepat dan nyaman.","Jl. KH. Abdul Hadi No. 89, Kelurahan Lopang, Kecamatan Serang, Kota Serang, Provinsi Banten, 42111.",private,3,2024-06-20 16:47:20.021,2024-06-21 03:34:33.233,
C-8a708ab9d5,Kambing lepas di area Jl. Cilegon gon gon,Jl. Cilegon gon gon,private,0,2024-06-20 14:17:18.576,2024-06-20 14:17:18.576,
C-8kshis9280,"Saya ingin melaporkan kurangnya fasilitas di SDN 05 Tangerang, yang sangat memprihatinkan. Ruang kelas yang ada saat ini sangat sempit dan tidak cukup untuk menampung jumlah siswa yang terus bertambah. Selain itu, banyak bangku dan meja yang sudah rusak dan belum diganti, sehingga membuat proses belajar mengajar menjadi tidak nyaman. Fasilitas pendukung seperti perpustakaan dan laboratorium juga sangat minim dan kurang terawat. Hal ini sangat mempengaruhi kualitas pendidikan dan kenyamanan belajar siswa. Saya berharap pihak terkait dapat segera memperbaiki dan menambah fasilitas yang dibutuhkan agar proses belajar mengajar dapat berjalan dengan lebih baik.","Jl. Raya Serpong No. 456, Desa Lengkong Karya, Kecamatan Serpong Utara, Kabupaten Tangerang, Provinsi Banten, 15310",private,2,2024-06-20 16:47:20.021,2024-06-20 16:47:20.021,
C-a1b2xzd4e5,Keamanan di kompleks perlu disempurnakan. Banyak pencurian terjadi akhir-akhir ini.,Jalan Kompleks Permai No. 2,public,1,2024-06-19 10:30:00.000,2024-06-20 11:35:00.000,
C-d965289620,untuk pemerintah setempat dimohon untuk segera menertibkan pengemis yang ada di sekitar jln bsd karena mengganggu aktivitas setempat dan dimohon agar dibawa ke kantor dinas terkait supaya diberi penanganan,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",private,0,2024-06-20 15:21:04.405,2024-06-21 07:22:11.048,
C-f21323e45f6,Transportasi umum di pagi hari sangat padat. Seharusnya ditambah armadanya.,Jalan Pagi Cerah No. 15,public,3,2024-06-19 14:50:00.000,2024-06-20 15:55:00.000,
C-qazws32dcrfvgt,Lingkungan kami sering terganggu oleh sampah plastik. Baunya tidak sedap dan mencemari lingkungan.,Jalan Hijau Indah No. 22,public,6,2024-06-19 22:30:00.000,2024-06-20 23:35:00.000,
